SKU,2025年計,2026年1月,2026年2月,2026年3月,2026Q1計
3SET_L-BR-BK,1,0,0,0,0
3SET_L_BE_BK,1,0,0,0,0
3SET_L_BL_BE,2,0,0,0,0
3SET_L_BL_BK,4,0,0,0,0
3SET_L_BL_BL,2,0,0,0,0
3SET_L_BL_GY,1,0,0,0,0
3SET_L_BL_LA,1,0,0,0,0
3SET_L_BR_BE,1,0,0,0,0
3SET_L_BR_BK,5,0,0,0,0
3SET_L_BR_BL,1,0,0,0,0
3SET_L_MU_BE,3,0,0,0,0
3SET_L_MU_BK,2,0,0,0,0
3SET_L_MU_BL,1,0,0,0,0
3SET_L_MU_LA,1,0,0,0,0
3SET_L_NA_BE,1,0,0,0,0
3SET_L_RD_BK,3,0,0,0,0
3SET_L_RD_BL,1,0,0,0,0
3SET_L_RD_LA,1,0,0,0,0
3SET_M-MU-BE,1,0,0,0,0
3SET_M-RD-PK,1,0,0,0,0
3SET_M_BE_BE,1,0,0,0,0
3SET_M_BL_BE,2,0,0,0,0
3SET_M_BL_BK,11,0,0,0,0
3SET_M_BL_BL,9,0,0,0,0
3SET_M_BL_GY,2,0,0,0,0
3SET_M_BL_LA,1,0,0,0,0
3SET_M_BR_BE,3,0,0,0,0
3SET_M_BR_BK,9,0,0,0,0
3SET_M_BR_GY,2,0,0,0,0
3SET_M_MU_BE,1,0,0,0,0
3SET_M_MU_BK,6,0,0,0,0
3SET_M_MU_BL,4,0,0,0,0
3SET_M_NA_BK,2,0,0,0,0
3SET_M_RD_BE,2,0,0,0,0
3SET_M_RD_LA,1,0,0,0,0
3SET_M_RD_PK,1,0,0,0,0
APM_BK,0,0,0,3,3
APM_GY,0,0,0,9,9
APM_ST,37,2,10,15,27
APM_WH,40,3,11,14,28
APS_BK,5,0,1,1,2
APS_GY,7,0,4,5,9
APS_WH,6,1,0,1,2
CC_1BK,1,0,0,0,0
CC_1BK1GY,0,0,0,1,1
CC_1GY,2,0,0,0,0
CC_2GY,0,1,0,0,1
CL_BK,33,6,29,15,50
CL_GY,46,8,24,23,55
CUP_BE,12,1,2,2,5
CUP_BK,12,0,2,7,9
CUP_BST,4,0,6,3,9
CUP_CAT,3,0,0,0,0
CUP_DOT,3,0,0,0,0
CUP_FLB,2,0,0,1,1
CUP_FLW,5,0,0,0,0
CUP_GY,16,3,7,5,15
CUP_LURE,1,0,0,0,0
CUP_RST,0,0,0,2,2
CUP_WH,1,0,1,0,1
DO_BE,10,0,3,8,11
DO_BK,48,3,6,15,24
DO_GY,43,3,5,20,28
DOGB,0,0,3,1,4
DOGB_13_shoulder,1,0,0,0,0
FBM_AP,0,0,0,1,1
FBM_BL,0,1,1,1,3
FBM_LE,0,0,0,1,1
GIFTBAG_BOY,1,0,0,1,1
HA_BE,34,2,8,14,24
HA_BK,42,4,16,15,35
HA_GY,71,8,20,19,47
HA_WH,52,6,9,14,29
KM_BE,7,0,0,2,2
KM_BK,10,1,4,1,6
KM_BST,18,1,6,6,13
KM_CAT,5,0,0,2,2
KM_DOT,5,0,1,1,2
KM_FLB,2,1,0,0,1
KM_FLW,3,0,1,2,3
KM_GCHE,11,0,0,2,2
KM_GY,13,1,2,4,7
KM_HAT,1,0,0,0,0
KM_KABUTO_B,9,0,4,3,7
KM_KABUTO_W,3,0,0,1,1
KM_LURE,4,1,1,1,3
KM_REX_BE,4,0,0,1,1
KM_REX_BK,4,0,0,4,4
KM_REX_BL,6,0,2,0,2
KM_REX_MN,5,0,1,2,3
KM_RST,3,0,2,2,4
KM_SPOON,5,0,0,0,0
KM_SST,5,0,0,0,0
KM_WH,5,0,0,0,0
LBL_BE,22,0,0,0,0
LBL_BL,211,8,26,15,49
LBL_BR,102,5,12,8,25
LBL_GY,2,12,20,16,48
LBL_MU,67,5,17,10,32
LBL_NA,54,5,8,8,21
LBL_RD,49,3,7,17,27
LBL_SB,0,2,7,5,14
LBM_BE,15,0,0,0,0
LBM_BL,123,6,14,32,52
LBM_BR,69,2,7,10,19
LBM_GY,4,4,16,22,42
LBM_MU,45,5,9,15,29
LBM_NA,44,1,8,13,22
LBM_RD,42,1,14,11,26
LBM_SB,0,3,3,9,15
LBS_BE,3,0,0,0,0
LBS_BL,24,1,3,6,10
LBS_BR,13,0,4,2,6
LBS_GY,1,1,1,6,8
LBS_MU,11,1,7,2,10
LBS_NA,14,0,1,1,2
LBS_RD,13,2,4,4,10
LBS_SB,0,0,2,2,4
LBSS_BE,4,0,0,0,0
LBSS_BL,8,1,0,3,4
LBSS_BR,12,0,0,0,0
LBSS_GY,0,0,2,3,5
LBSS_MU,4,0,1,3,4
LBSS_NA,7,0,0,1,1
LBSS_RD,4,1,2,1,4
LBSS_SB,1,0,1,0,1
MASK_N,34,4,15,11,30
MASK_W,49,4,13,20,37
OMM_BK,4,0,4,1,5
OMM_GY,13,0,4,7,11
PNAP_BE,7,1,1,5,7
PNAP_BL,30,1,9,8,18
PNAP_OR,0,0,0,2,2
PNAP_PK,3,0,1,1,2
SBDL_BK,56,4,10,10,24
SBDL_BL,84,14,17,19,50
SBDL_BR,15,2,3,5,10
SBDL_KH,25,2,0,6,8
SBDL_OR,12,0,5,3,8
SBDL_SP,6,0,2,0,2
SBDM_BK,61,6,12,13,31
SBDM_BL,90,9,18,26,53
SBDM_BR,22,2,2,5,9
SBDM_KH,32,2,4,4,10
SBDM_OR,18,2,3,9,14
SBDM_SP,14,3,5,9,17
SBL_BE,25,4,8,11,23
SBL_BK,71,6,16,31,53
SBL_BL,45,2,8,19,29
SBL_GY,23,1,4,10,15
SBL_LA,10,2,3,4,9
SBL_PK,12,0,5,5,10
SBM_BE,57,5,12,14,31
SBM_BK,158,12,41,51,104
SBM_BL,134,10,34,37,81
SBM_GY,40,4,12,8,24
SBM_LA,37,4,8,9,21
SBM_PK,35,3,8,10,21
SNAP_KH,13,0,4,3,7
SNAP_NA,37,2,1,3,6
TAL_BE,40,3,6,14,23
TAL_BK,55,11,22,24,57
TAL_BL,53,10,20,32,62
TAL_GY,27,5,7,9,21
TAL_LA,16,1,8,12,21
TAL_PK,13,1,4,13,18
TAM_BE,62,5,11,13,29
TAM_BK,123,6,22,22,50
TAM_BL,106,9,23,33,65
TAM_GY,31,3,11,14,28
TAM_LA,14,7,5,7,19
TAM_PK,23,1,8,10,19
TP_BR,1,0,0,0,0
TP_NA,1,0,0,0,0
TP_RD,1,0,0,0,0
giftbag_KUMA,2,0,0,0,0
