タイプ,管理記号,管理番号,SKUグループ,カラー,SKU,プリント,パーツ名,使用数,用尺（m）,備考
共通,FA,001,LBL,RD レッド,LBL_RD,,709Z_74*49_RD,1,0.3,
共通,FA,002,LBL,MU マスタード,LBL_MU,,709Z_74*49_MU,1,0.3,
共通,FA,003,LBL,BE ベージュ,LBL_BE,,709Z_74*49_BE,1,0.3,
共通,FA,004,LBL,BR カーキブラウン,LBL_BR,,709Z_74*49_BR,1,0.3,
共通,FA,005,LBL,BL ブルー,LBL_BL,,709Z_74*49_BL,1,0.3,
共通,FA,006,LBL,NA ネイビー,LBL_NA,,709Z_74*49_NA,1,0.3,
共通,FA,007,LBM,RD レッド,LBM_RD,,709Z_63.5*44_RD,1,0.27,
共通,FA,008,LBM,MU マスタード,LBM_MU,,709Z_63.5*44_MU,1,0.27,
共通,FA,009,LBM,BE ベージュ,LBM_BE,,709Z_63.5*44_BE,1,0.27,
共通,FA,010,LBM,BR カーキブラウン,LBM_BR,,709Z_63.5*44_BR,1,0.27,
共通,FA,011,LBM,BL ブルー,LBM_BL,,709Z_63.5*44_BL,1,0.27,
共通,FA,012,LBM,NA ネイビー,LBM_NA,,709Z_63.5*44_NA,1,0.27,
共通,FA,013,LBS,RD レッド,LBS_RD,,709Z_53*38_RD,1,0.18,
共通,FA,014,LBS,MU マスタード,LBS_MU,,709Z_53*38_MU,1,0.18,
共通,FA,015,LBS,BE ベージュ,LBS_BE,,709Z_53*38_BE,1,0.18,
共通,FA,016,LBS,BR カーキブラウン,LBS_BR,,709Z_53*38_BR,1,0.18,
共通,FA,017,LBS,BL ブルー,LBS_BL,,709Z_53*38_BL,1,0.18,
共通,FA,018,LBS,NA ネイビー,LBS_NA,,709Z_53*38_NA,1,0.18,
共通,FA,019,LBSS,RD レッド,LBSS_RD,,709Z_53*28_RD,1,0.135,
共通,FA,020,LBSS,MU マスタード,LBSS_MU,,709Z_53*28_MU,1,0.135,
共通,FA,021,LBSS,BE ベージュ,LBSS_BE,,709Z_53*28_BE,1,0.135,
共通,FA,022,LBSS,BR カーキブラウン,LBSS_BR,,709Z_53*28_BR,1,0.135,
共通,FA,023,LBSS,BL ブルー,LBSS_BL,,709Z_53*28_BL,1,0.135,
共通,FA,024,LBSS,NA ネイビー,LBSS_NA,,709Z_53*28_NA,1,0.135,
共通,FA,001,LBL_NAME,RD レッド,LBL_NAME_RD,,709Z_74*49_RD,1,0.3,
共通,FA,002,LBL_NAME,MU マスタード,LBL_NAME_MU,,709Z_74*49_MU,1,0.3,
共通,FA,003,LBL_NAME,BE ベージュ,LBL_NAME_BE,,709Z_74*49_BE,1,0.3,
共通,FA,004,LBL_NAME,BR カーキブラウン,LBL_NAME_BR,,709Z_74*49_BR,1,0.3,
共通,FA,005,LBL_NAME,BL ブルー,LBL_NAME_BL,,709Z_74*49_BL,1,0.3,
共通,FA,006,LBL_NAME,NA ネイビー,LBL_NAME_NA,,709Z_74*49_NA,1,0.3,
共通,FA,007,LBM_NAME,RD レッド,LBM_NAME_RD,,709Z_63.5*44_RD,1,0.27,
共通,FA,008,LBM_NAME,MU マスタード,LBM_NAME_MU,,709Z_63.5*44_MU,1,0.27,
共通,FA,009,LBM_NAME,BE ベージュ,LBM_NAME_BE,,709Z_63.5*44_BE,1,0.27,
共通,FA,010,LBM_NAME,BR カーキブラウン,LBM_NAME_BR,,709Z_63.5*44_BR,1,0.27,
共通,FA,011,LBM_NAME,BL ブルー,LBM_NAME_BL,,709Z_63.5*44_BL,1,0.27,
共通,FA,012,LBM_NAME,NA ネイビー,LBM_NAME_NA,,709Z_63.5*44_NA,1,0.27,
共通,FA,013,LBS_NAME,RD レッド,LBS_NAME_RD,,709Z_53*38_RD,1,0.18,
共通,FA,014,LBS_NAME,MU マスタード,LBS_NAME_MU,,709Z_53*38_MU,1,0.18,
共通,FA,015,LBS_NAME,BE ベージュ,LBS_NAME_BE,,709Z_53*38_BE,1,0.18,
共通,FA,016,LBS_NAME,BR カーキブラウン,LBS_NAME_BR,,709Z_53*38_BR,1,0.18,
共通,FA,017,LBS_NAME,BL ブルー,LBS_NAME_BL,,709Z_53*38_BL,1,0.18,
共通,FA,018,LBS_NAME,NA ネイビー,LBS_NAME_NA,,709Z_53*38_NA,1,0.18,
共通,FA,019,LBSS_NAME,RD レッド,LBSS_NAME_RD,,709Z_53*28_RD,1,0.135,
共通,FA,020,LBSS_NAME,MU マスタード,LBSS_NAME_MU,,709Z_53*28_MU,1,0.135,
共通,FA,021,LBSS_NAME,BE ベージュ,LBSS_NAME_BE,,709Z_53*28_BE,1,0.135,
共通,FA,022,LBSS_NAME,BR カーキブラウン,LBSS_NAME_BR,,709Z_53*28_BR,1,0.135,
共通,FA,023,LBSS_NAME,BL ブルー,LBSS_NAME_BL,,709Z_53*28_BL,1,0.135,
共通,FA,024,LBSS_NAME,NA ネイビー,LBSS_NAME_NA,,709Z_53*28_NA,1,0.135,
個別,FA,025,SBDL,BK ブラック,SBDL_BK,P,11hanpu_73*26.5_BK,1,0.26,
個別,FA,026,SBDL,BL ブルー,SBDL_BL,P,11hanpu_73*26.5_BL,1,0.26,
個別,FA,027,SBDL,BR ブラウン,SBDL_BR,P,11hanpu_73*26.5_BR,1,0.26,
個別,FA,028,SBDL,KH カーキ,SBDL_KH,P,11hanpu_73*26.5_KH,1,0.26,
個別,FA,029,SBDL,OR サーモンオレンジ,SBDL_OR,P,11hanpu_73*26.5_OR,1,0.26,
個別,FA,030,SBDL,SP スモークピンク,SBDL_SP,P,11hanpu_73*26.5_SP,1,0.26,
個別,FA,031,SBDM,BK ブラック,SBDM_BK,P,11hanpu_63*23_BK,1,0.19,
個別,FA,032,SBDM,BL ブルー,SBDM_BL,P,11hanpu_63*23_BL,1,0.19,
個別,FA,033,SBDM,BR ブラウン,SBDM_BR,P,11hanpu_63*23_BR,1,0.19,
個別,FA,034,SBDM,KH カーキ,SBDM_KH,P,11hanpu_63*23_KH,1,0.19,
個別,FA,035,SBDM,OR サーモンオレンジ,SBDM_OR,P,11hanpu_63*23_OR,1,0.19,
個別,FA,036,SBDM,SP スモークピンク,SBDM_SP,P,11hanpu_63*23_SP,1,0.19,
個別,FA,037,SBL,BK ブラック,SBL_BK,P,80300_93*31.5_BK,1,0.33,
個別,FA,038,SBL,BL ブルー,SBL_BL,P,80300_93*31.5_BL,1,0.33,
個別,FA,039,SBL,BE ベージュ,SBL_BE,P,80300_93*31.5_BE,1,0.33,
個別,FA,040,SBL,PK ピンク,SBL_PK,P,77300_93*61.5_PK,1,0.33,
個別,FA,041,SBL,GY グレー,SBL_GY,P,77300_93*61.5_GY,1,0.33,
個別,FA,042,SBL,LA ラベンダー,SBL_LA,P,77300_93*61.5_LA,1,0.33,
個別,FA,043,SBM,BK ブラック,SBM_BK,P,80300_76*24_BK,1,0.2,
個別,FA,044,SBM,BL ブルー,SBM_BL,P,80300_76*24_BL,1,0.2,
個別,FA,045,SBM,BE ベージュ,SBM_BE,P,80300_76*24_BE,1,0.2,
個別,FA,046,SBM,PK ピンク,SBM_PK,P,77300_76*24_PK,1,0.2,
個別,FA,047,SBM,GY グレー,SBM_GY,P,77300_76*24_GY,1,0.2,
個別,FA,048,SBM,LA ラベンダー,SBM_LA,P,77300_76*24_LA,1,0.2,
個別,FA,049,TAL,BK ブラック,TAL_BK,P,80300_103*37.5_BK,1,0.4,
個別,FA,050,TAL,BL ブルー,TAL_BL,P,80300_103*37.5_BL,1,0.4,
個別,FA,051,TAL,BE ベージュ,TAL_BE,P,80300_103*37.5_BE,1,0.4,
個別,FA,052,TAL,PK ピンク,TAL_PK,P,77300_103*37.5_PK,1,0.4,
個別,FA,053,TAL,GY グレー,TAL_GY,P,77300_103*37.5_GY,1,0.4,
個別,FA,054,TAL,LA ラベンダー,TAL_LA,P,77300_103*37.5_LA,1,0.4,
