タイプ,管理記号,管理番号,SKUグループ,カラー,SKU,プリント,パーツ名,使用数,備考
共通,FC,001,LBL,RD レッド,LBL_RD,,709Z_LBpocket_LM,1,
共通,FC,001,LBL,MU マスタード,LBL_MU,,709Z_LBpocket_LM,1,
共通,FC,001,LBL,BE ベージュ,LBL_BE,,709Z_LBpocket_LM,1,
共通,FC,001,LBL,BR カーキブラウン,LBL_BR,,709Z_LBpocket_LM,1,
共通,FC,001,LBL,BL ブルー,LBL_BL,,709Z_LBpocket_LM,1,
共通,FC,001,LBL,NA ネイビー,LBL_NA,,709Z_LBpocket_LM,1,
共通,FC,001,LBL,SB サンドベージュ,LBL_SB,,709Z_LBpocket_LM,1,
共通,FC,001,LBL,GY チャコールグレー,LBL_GY,,709Z_LBpocket_LM,1,
共通,FC,001,LBL,BK ブラック,LBL_BK,,709Z_LBpocket_LM,1,
共通,FC,001,LBM,RD レッド,LBM_RD,,709Z_LBpocket_LM,1,
共通,FC,001,LBM,MU マスタード,LBM_MU,,709Z_LBpocket_LM,1,
共通,FC,001,LBM,BE ベージュ,LBM_BE,,709Z_LBpocket_LM,1,
共通,FC,001,LBM,BR カーキブラウン,LBM_BR,,709Z_LBpocket_LM,1,
共通,FC,001,LBM,BL ブルー,LBM_BL,,709Z_LBpocket_LM,1,
共通,FC,001,LBM,NA ネイビー,LBM_NA,,709Z_LBpocket_LM,1,
共通,FC,001,LBM,SB サンドベージュ,LBM_SB,,709Z_LBpocket_LM,1,
共通,FC,001,LBM,GY チャコールグレー,LBM_GY,,709Z_LBpocket_LM,1,
共通,FC,001,LBM,BK ブラック,LBM_BK,,709Z_LBpocket_LM,1,
共通,FC,002,LBS,RD レッド,LBS_RD,,709Z_LBpocket_S,1,
共通,FC,002,LBS,MU マスタード,LBS_MU,,709Z_LBpocket_S,1,
共通,FC,002,LBS,BE ベージュ,LBS_BE,,709Z_LBpocket_S,1,
共通,FC,002,LBS,BR カーキブラウン,LBS_BR,,709Z_LBpocket_S,1,
共通,FC,002,LBS,BL ブルー,LBS_BL,,709Z_LBpocket_S,1,
共通,FC,002,LBS,NA ネイビー,LBS_NA,,709Z_LBpocket_S,1,
共通,FC,002,LBS,SB サンドベージュ,LBS_SB,,709Z_LBpocket_S,1,
共通,FC,002,LBS,GY チャコールグレー,LBS_GY,,709Z_LBpocket_S,1,
共通,FC,002,LBS,BK ブラック,LBS_BK,,709Z_LBpocket_S,1,
共通,FC,003,LBSS,RD レッド,LBSS_RD,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS,MU マスタード,LBSS_MU,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS,BE ベージュ,LBSS_BE,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS,BR カーキブラウン,LBSS_BR,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS,BL ブルー,LBSS_BL,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS,NA ネイビー,LBSS_NA,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS,SB サンドベージュ,LBSS_SB,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS,GY チャコールグレー,LBSS_GY,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS,BK ブラック,LBSS_BK,,709Z_LBpocket_SS,1,
共通,FC,001,LBL_NAME,RD レッド,LBL_NAME_RD,,709Z_LBpocket_LM,1,
共通,FC,001,LBL_NAME,MU マスタード,LBL_NAME_MU,,709Z_LBpocket_LM,1,
共通,FC,001,LBL_NAME,BE ベージュ,LBL_NAME_BE,,709Z_LBpocket_LM,1,
共通,FC,001,LBL_NAME,BR カーキブラウン,LBL_NAME_BR,,709Z_LBpocket_LM,1,
共通,FC,001,LBL_NAME,BL ブルー,LBL_NAME_BL,,709Z_LBpocket_LM,1,
共通,FC,001,LBL_NAME,NA ネイビー,LBL_NAME_NA,,709Z_LBpocket_LM,1,
共通,FC,001,LBL_NAME,SB サンドベージュ,LBL_NAME_SB,,709Z_LBpocket_LM,1,
共通,FC,001,LBL_NAME,GY チャコールグレー,LBL_NAME_GY,,709Z_LBpocket_LM,1,
共通,FC,001,LBM_NAME,RD レッド,LBM_NAME_RD,,709Z_LBpocket_LM,1,
共通,FC,001,LBM_NAME,MU マスタード,LBM_NAME_MU,,709Z_LBpocket_LM,1,
共通,FC,001,LBM_NAME,BE ベージュ,LBM_NAME_BE,,709Z_LBpocket_LM,1,
共通,FC,001,LBM_NAME,BR カーキブラウン,LBM_NAME_BR,,709Z_LBpocket_LM,1,
共通,FC,001,LBM_NAME,BL ブルー,LBM_NAME_BL,,709Z_LBpocket_LM,1,
共通,FC,001,LBM_NAME,NA ネイビー,LBM_NAME_NA,,709Z_LBpocket_LM,1,
共通,FC,001,LBM_NAME,SB サンドベージュ,LBM_NAME_SB,,709Z_LBpocket_LM,1,
共通,FC,001,LBM_NAME,GY チャコールグレー,LBM_NAME_GY,,709Z_LBpocket_LM,1,
共通,FC,002,LBS_NAME,RD レッド,LBS_NAME_RD,,709Z_LBpocket_S,1,
共通,FC,002,LBS_NAME,MU マスタード,LBS_NAME_MU,,709Z_LBpocket_S,1,
共通,FC,002,LBS_NAME,BE ベージュ,LBS_NAME_BE,,709Z_LBpocket_S,1,
共通,FC,002,LBS_NAME,BR カーキブラウン,LBS_NAME_BR,,709Z_LBpocket_S,1,
共通,FC,002,LBS_NAME,BL ブルー,LBS_NAME_BL,,709Z_LBpocket_S,1,
共通,FC,002,LBS_NAME,NA ネイビー,LBS_NAME_NA,,709Z_LBpocket_S,1,
共通,FC,002,LBS_NAME,SB サンドベージュ,LBS_NAME_SB,,709Z_LBpocket_S,1,
共通,FC,002,LBS_NAME,GY チャコールグレー,LBS_NAME_GY,,709Z_LBpocket_S,1,
共通,FC,003,LBSS_NAME,RD レッド,LBSS_NAME_RD,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS_NAME,MU マスタード,LBSS_NAME_MU,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS_NAME,BE ベージュ,LBSS_NAME_BE,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS_NAME,BR カーキブラウン,LBSS_NAME_BR,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS_NAME,BL ブルー,LBSS_NAME_BL,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS_NAME,NA ネイビー,LBSS_NAME_NA,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS_NAME,SB サンドベージュ,LBSS_NAME_SB,,709Z_LBpocket_SS,1,
共通,FC,003,LBSS_NAME,GY チャコールグレー,LBSS_NAME_GY,,709Z_LBpocket_SS,1,
個別,FC,004,PNAP,BL ブルー,PNAP_BL,,709Z_PNAPpocket_BK,1,
個別,FC,004,PNAP,BE ベージュ,PNAP_BE,,709Z_PNAPpocket_BK,1,
個別,FC,004,PNAP,OR サーモンオレンジ,PNAP_OR,,709Z_PNAPpocket_BK,1,
個別,FC,004,PNAP,PK ピンク,PNAP_PK,,709Z_PNAPpocket_BK,1,
個別,FC,005,PNAP,BL ブルー,PNAP_BL,,701_PNAPpocket_BL,1,
個別,FC,006,PNAP,BE ベージュ,PNAP_BE,,701_PNAPpocket_BE,1,
個別,FC,007,PNAP,OR サーモンオレンジ,PNAP_OR,,701_PNAPpocket_OR,1,
個別,FC,008,PNAP,PK ピンク,PNAP_PK,,701_PNAPpocket_PK,1,
個別,FC,009,IBL,KI 生成,IBL_KI,,769_IBpocket_LM,1,
個別,FC,009,IBM,KI 生成,IBM_KI,,769_IBpocket_LM,1,
個別,FC,010,IBSS,KI 生成,IBSS_KI,,769_IBpocket_SS,1,
共通,FC,011,FBM,,,,da18_FBMpocket,1,
